
Process: Workrave.exe Pid: 4248

Name	Description	Company Name	Version	Path
ADVAPI32.DLL	Advanced Windows 32 Base API	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\ADVAPI32.DLL
apphelp.dll	Application Compatibility Client Library	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\apphelp.dll
audioeng.dll	Audio Engine	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\audioeng.dll
audioses.dll	Audio Session	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\audioses.dll
AVRT.dll	Multimedia Realtime Runtime	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\AVRT.dll
CLBCatQ.DLL	COM+ Configuration Catalog	Microsoft Corporation	2001.12.6930.16386	C:\Windows\syswow64\CLBCatQ.DLL
COMCTL32.DLL	User Experience Controls Library	Microsoft Corporation	5.82.6000.16386	C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.6000.16386_none_87e0cb09378714f1\COMCTL32.DLL
comctl32.dll	User Experience Controls Library	Microsoft Corporation	6.10.6000.16386	C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.6000.16386_none_5d07289e07e1d100\comctl32.dll
COMDLG32.DLL	Common Dialogs DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\COMDLG32.DLL
CRYPT32.dll	Crypto API32	Microsoft Corporation	6.00.6000.16425	C:\Windows\SysWOW64\CRYPT32.dll
GDI32.dll	GDI Client DLL	Microsoft Corporation	6.00.6000.20591	C:\Windows\syswow64\GDI32.dll
gnet-2.0.dll				C:\Program Files (x86)\Workrave\lib\gnet-2.0.dll
harpoon.dll				C:\Program Files (x86)\Workrave\lib\harpoon.dll
icm32.dll	Microsoft Color Management Module (CMM)	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\icm32.dll
iconv.dll	LGPLed libiconv for Windows NT/2000/XP and Windows 95/98/ME	Free Software Foundation	1.09.0000.0000	C:\Program Files (x86)\Workrave\lib\iconv.dll
imagehlp.dll	Windows NT Image Helper	Microsoft Corporation	6.00.6000.16470	C:\Windows\syswow64\imagehlp.dll
IMM32.DLL	Multi-User Windows IMM32 API Client DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\syswow64\IMM32.DLL
intl.dll	LGPLed libintl for Windows NT/2000/XP and Windows 95/98/ME	Free Software Foundation	0.14.0005.0000	C:\Program Files (x86)\Workrave\lib\intl.dll
kernel32.dll	Windows NT BASE API Client DLL	Microsoft Corporation	6.00.6000.20608	C:\Windows\syswow64\kernel32.dll
kernel32.dll.mui	Windows NT BASE API Client DLL	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\en-US\kernel32.dll.mui
ksuser.dll	User CSA Library	Microsoft Corporation	6.00.6000.16386	C:\Windows\SysWOW64\ksuser.dll
libatk-1.0-0.dll	atk	Sun Microsystems Inc.	1.10.0003.0000	C:\Program Files (x86)\Workrave\lib\libatk-1.0-0.dll
libcairo-2.dll				C:\Program Files (x86)\Workrave\lib\libcairo-2.dll
libgdk_pixbuf-2.0-0.dll	GIMP Toolkit	The GTK developer community	2.10.0003.0000	C:\Program Files (x86)\Workrave\lib\libgdk_pixbuf-2.0-0.dll
libgdk-win32-2.0-0.dll	GIMP Drawing Kit	The GTK developer community	2.10.0003.0000	C:\Program Files (x86)\Workrave\lib\libgdk-win32-2.0-0.dll
